query_gallery_id,query_path,gallery_id,gallery_path,rank,distance
bzrrcb,bzrrcb,na66z1,na66z1,1,0.136437
bzrrcb,bzrrcb,qsb7h2,qsb7h2,2,0.167304
bzrrcb,bzrrcb,lletye,lletye,3,0.174062
bzrrcb,bzrrcb,bkkl0c,bkkl0c,4,0.187517
bzrrcb,bzrrcb,r3zoy3,r3zoy3,5,0.210038
bzrrcb,bzrrcb,bp1br5,bp1br5,6,0.212426
bzrrcb,bzrrcb,z8z5nd,z8z5nd,7,0.223829
bzrrcb,bzrrcb,3sa3ah,3sa3ah,8,0.224226
bzrrcb,bzrrcb,fzpn5c,fzpn5c,9,0.231219
bzrrcb,bzrrcb,85ows9,85ows9,10,0.233182
bzrrcb,bzrrcb,6emeza,6emeza,11,0.233779
bzrrcb,bzrrcb,i8sxka,i8sxka,12,0.239683
bzrrcb,bzrrcb,djwkkh,djwkkh,13,0.240372
bzrrcb,bzrrcb,sghqpc,sghqpc,14,0.241059
bzrrcb,bzrrcb,gzkks4,gzkks4,15,0.242250
bzrrcb,bzrrcb,jv45be,jv45be,16,0.242853
bzrrcb,bzrrcb,2fv2sd,2fv2sd,17,0.246011
bzrrcb,bzrrcb,b2cnae,b2cnae,18,0.246345
bzrrcb,bzrrcb,pk7p58,pk7p58,19,0.248061
bzrrcb,bzrrcb,gx16i7,gx16i7,20,0.248927
bzrrcb,bzrrcb,l58ew3,l58ew3,21,0.249318
bzrrcb,bzrrcb,k18xw3,k18xw3,22,0.253841
bzrrcb,bzrrcb,mp5t2d,mp5t2d,23,0.254319
bzrrcb,bzrrcb,k492z8,k492z8,24,0.256066
bzrrcb,bzrrcb,oflzp6,oflzp6,25,0.263743
bzrrcb,bzrrcb,ax126d,ax126d,26,0.268170
bzrrcb,bzrrcb,11jtv4,11jtv4,27,0.271576
bzrrcb,bzrrcb,pasj9d,pasj9d,28,0.275182
bzrrcb,bzrrcb,ebide1,ebide1,29,0.277720
bzrrcb,bzrrcb,adn1w9,adn1w9,30,0.278472
bzrrcb,bzrrcb,wngi78,wngi78,31,0.281774
bzrrcb,bzrrcb,4r1cj2,4r1cj2,32,0.283993
bzrrcb,bzrrcb,6b73hd,6b73hd,33,0.285539
bzrrcb,bzrrcb,3q1qg4,3q1qg4,34,0.285953
bzrrcb,bzrrcb,u0cvy9,u0cvy9,35,0.287829
bzrrcb,bzrrcb,wjqh5d,wjqh5d,36,0.289218
bzrrcb,bzrrcb,283qff,283qff,37,0.290732
bzrrcb,bzrrcb,ohx7qe,ohx7qe,38,0.295694
bzrrcb,bzrrcb,mjqrv3,mjqrv3,39,0.296157
bzrrcb,bzrrcb,i1rsoh,i1rsoh,40,0.300329
