query_gallery_id,query_path,gallery_id,gallery_path,rank,distance
bzrrcb,bzrrcb,na66z1,na66z1,1,0.274254709482193
bzrrcb,bzrrcb,silzf0,silzf0,2,0.32904186844825745
bzrrcb,bzrrcb,11jtv4,11jtv4,3,0.397772878408432
bzrrcb,bzrrcb,40yjc4,40yjc4,4,0.40852198004722595
bzrrcb,bzrrcb,ax126d,ax126d,5,0.40853533148765564
bzrrcb,bzrrcb,wrjeta,wrjeta,6,0.42541447281837463
bzrrcb,bzrrcb,xt44yc,xt44yc,7,0.5171254873275757
bzrrcb,bzrrcb,ebide1,ebide1,8,0.524126410484314
bzrrcb,bzrrcb,oi7f75,oi7f75,9,0.5262230038642883
bzrrcb,bzrrcb,a8w9ib,a8w9ib,10,0.5299698710441589
bzrrcb,bzrrcb,w4le13,w4le13,11,0.5364205241203308
bzrrcb,bzrrcb,4dex9b,4dex9b,12,0.5576066970825195
bzrrcb,bzrrcb,jiq8kf,jiq8kf,13,0.5828142762184143
bzrrcb,bzrrcb,zqs1qf,zqs1qf,14,0.5831105709075928
bzrrcb,bzrrcb,ay2ic4,ay2ic4,15,0.5831488370895386
bzrrcb,bzrrcb,85ows9,85ows9,16,0.593867838382721
bzrrcb,bzrrcb,oflzp6,oflzp6,17,0.6098222136497498
bzrrcb,bzrrcb,b8kvq3,b8kvq3,18,0.6273835301399231
bzrrcb,bzrrcb,bwiv5b,bwiv5b,19,0.6342652440071106
bzrrcb,bzrrcb,6emeza,6emeza,20,0.6652622818946838
bzrrcb,bzrrcb,ohx7qe,ohx7qe,21,0.6658306121826172
bzrrcb,bzrrcb,n1exr3,n1exr3,22,0.6671625971794128
bzrrcb,bzrrcb,u0cvy9,u0cvy9,23,0.6714117527008057
bzrrcb,bzrrcb,z73l2a,z73l2a,24,0.6776807308197021
bzrrcb,bzrrcb,ox0fic,ox0fic,25,0.6871086359024048
bzrrcb,bzrrcb,3q1qg4,3q1qg4,26,0.6890683770179749
bzrrcb,bzrrcb,veybp4,veybp4,27,0.7058442234992981
bzrrcb,bzrrcb,lx4sqg,lx4sqg,28,0.7076007723808289
bzrrcb,bzrrcb,c0c0f1,c0c0f1,29,0.7193675637245178
bzrrcb,bzrrcb,pasj9d,pasj9d,30,0.7311968803405762
bzrrcb,bzrrcb,54tb37,54tb37,31,0.7375786304473877
bzrrcb,bzrrcb,ta9n91,ta9n91,32,0.743591845035553
bzrrcb,bzrrcb,9sen8g,9sen8g,33,0.7482426762580872
bzrrcb,bzrrcb,i1rsoh,i1rsoh,34,0.75372314453125
